Designation,Experience,Salary,No. of Publications,No. of Chapters,Amount of consultancy work,Fund Received,Professional Membership
2,12,369804,36,552,1096812,5772210,11
1,3,123252,6,243,561111,253032,11
3,35,864395,11,198,1080706,1542146,15
3,34,784674,113,1122,1204314,8080802,3
2,8,107056,36,304,234924,2126888,13
1,1,46809,1,67,147071,529113,2
2,23,390494,57,264,1960405,10888809,6
3,29,380750,48,609,1320408,4548147,2
2,23,666724,11,1138,743153,4117161,6
2,10,187175,40,115,720655,4470670,7
3,37,543184,49,148,2068793,2822841,15
3,27,421416,45,882,482868,3379104,12
3,35,604508,81,863,1574288,5463791,14
2,13,398417,39,104,1270002,3434424,15
3,25,523433,75,450,1508916,5168875,15
3,29,655516,19,183,911354,9127856,4
2,9,190836,31,225,317763,3565795,10
2,13,456079,45,214,1270503,1726933,2
2,7,101650,24,252,339279,2587168,1
3,28,296277,28,9,1196813,969173,4
3,30,201950,90,150,1871110,7230950,12
2,19,667802,19,750,565962,4184940,4
2,19,369388,57,551,897702,742805,13
2,23,663653,46,874,633454,8155742,14
2,19,232759,95,370,1565790,3116931,12
2,20,533440,70,320,1294830,2601270,7
2,10,343260,35,170,289470,1814615,1
3,32,248394,106,789,698848,7542517,9
3,25,304141,75,816,592708,4692975,7
2,18,271638,36,423,1089765,7475022,5
2,18,210285,90,108,894591,1704852,12
3,27,493965,27,252,790704,3412395,8
3,38,309738,50,430,2480006,1134857,12
2,12,303174,18,468,1066452,2127432,1
2,14,300328,56,539,486318,798693,5
2,12,366060,48,528,710946,3436476,12
1,1,20834,9,13,86641,397553,10
1,1,50928,5,55,67760,468034,11
2,23,443210,34,287,1288310,4161689,13
2,10,315820,50,340,381480,1679850,12
3,26,321654,26,736,472238,814415,13
2,8,85804,16,308,482032,1682444,2
3,38,862853,63,836,1885636,9827496,6
2,21,414267,63,168,1617924,8141406,13
2,18,288495,9,369,957384,6045813,11
2,18,421641,81,459,1090539,8279505,4
3,25,452258,58,525,960033,3247533,11
1,2,59506,2,66,399970,1173852,10
3,29,646545,87,502,1480653,6787382,8
2,21,426478,10,598,1013806,5363620,4
2,13,338942,45,552,777634,4934033,5
2,12,290376,54,450,649698,2601060,10
1,3,111552,18,138,384465,1047090,11
3,35,432751,116,1131,1018278,10474030,9
2,18,200628,18,801,672120,2170485,1
1,6,396480,12,330,1126086,2732550,9
3,29,345873,58,77,1882670,7361795,10
1,1,30970,5,50,188142,261071,4
1,6,192300,12,264,312480,4394484,3
2,11,167002,27,176,657327,1812525,7
3,36,663972,60,1140,1864272,8319192,4
1,5,311645,45,370,784975,3625805,15
2,8,250664,28,328,399448,934740,14
2,24,298020,24,24,1728312,8616528,1
2,14,210868,28,567,1173200,5339439,4
3,40,466840,120,253,892653,8904680,13
1,3,84738,24,225,224685,417558,3
3,36,870876,120,936,1870200,4961964,1
2,18,513432,63,324,1616625,8164917,11
1,1,72293,5,58,105884,438306,14
2,16,199960,32,552,864136,5001624,10
3,25,380991,50,825,623700,5858708,6
3,36,812856,108,72,957432,957816,4
3,35,426976,11,81,1557336,7822675,10
2,22,444103,77,627,1993739,7569804,14
3,36,565080,120,120,1210404,8936376,11
3,29,679160,19,725,1792103,6589070,1
2,14,233828,21,70,548625,6613397,2
2,20,621430,100,510,1577290,2891540,7
3,28,373902,46,364,1035309,943628,11
1,6,136824,42,570,1052112,4689108,8
3,37,595157,111,320,1394073,3479800,14
2,11,225329,11,165,620708,4626017,10
2,15,362445,67,322,419542,591180,8
1,4,177240,32,32,257604,549084,13
1,3,178875,27,189,490329,1577220,4
3,36,748356,48,432,979452,3804756,15
3,29,569076,96,164,679286,5568502,1
3,26,408286,8,754,1641926,4193436,12
2,14,442883,14,28,1200682,6335637,2
3,28,248677,37,336,1553440,2295888,14
2,13,447603,26,149,450742,981487,10
2,22,558305,44,121,2158827,2143746,7
1,3,198711,9,273,332997,2344275,8
3,39,602355,78,208,1316120,10379772,5
3,36,872748,72,120,1557036,7588152,9
2,21,630241,63,882,613956,3651364,12
2,23,309913,11,425,1187030,9201081,8
2,16,260408,48,752,1575576,7501552,13
2,24,613896,36,312,2076708,6306168,2
2,23,271963,69,920,2025000,5893198,6
3,27,296019,18,639,1265328,7952724,3
2,21,727156,31,1008,611803,9209686,15
2,19,415482,47,817,670719,2306619,2
3,35,245175,11,1050,1042930,5772188,7
2,12,225594,60,144,698586,3780264,8
2,21,432589,42,598,543039,5114298,9
1,6,344166,30,96,559992,1444662,4
2,8,144216,4,396,456116,2682056,6
2,23,582831,115,862,1471126,8859197,9
3,40,533333,40,453,2631986,5838253,11
2,13,452686,39,487,840755,4718382,14
2,22,263934,99,891,1567170,717750,3
2,24,383208,60,948,601356,8984604,1
2,20,739090,70,110,937950,2707860,1
2,20,719810,80,230,1539590,3577760,3
3,38,550138,12,88,1263094,8241313,4
2,12,203130,30,384,833028,2950404,9
2,14,295022,70,525,756735,5906537,14
3,33,364650,44,308,2058749,1723447,9
3,31,483383,31,41,749600,2301388,10
3,26,211042,17,433,1595316,3841734,6
2,17,567358,85,714,491402,6754219,8
1,6,334224,60,444,1188606,2896164,12
2,19,532408,57,912,1809303,5186962,8
3,29,674288,38,725,1617252,2117464,11
2,11,257834,49,242,696333,1464969,12
3,40,706546,13,493,2634906,5377293,10
2,16,344944,48,328,1170000,1404144,3
2,7,103631,28,276,473063,3397394,5
2,7,183575,21,52,327890,2023059,5
3,26,390450,26,130,1523834,6941618,7
1,6,294780,18,78,1041450,568518,6
2,7,237149,24,70,231031,1373456,11
3,31,630023,72,537,1842206,948455,15
1,5,200900,25,70,972730,4953965,6
2,8,121840,20,304,283508,655544,13
2,17,355419,8,833,692138,3856484,9
3,33,564047,110,935,1278618,3108171,2
2,14,215558,49,686,601937,4785326,7
3,38,353843,12,633,721227,6811576,8
2,11,133721,33,456,669229,3103116,9
1,6,158040,42,102,702228,1728456,7
3,27,466632,63,675,1020753,7236171,7
3,27,597267,45,333,750564,2948391,5
2,8,183416,16,348,404664,2752732,2
2,15,315127,45,742,1201462,3111225,1
2,24,531144,24,600,1391424,8557272,10
3,30,614050,80,210,763170,4021520,11
2,10,224570,45,45,379225,920380,12
1,2,79280,16,8,324948,1249716,14
2,23,769154,46,241,1142053,1125240,6
2,8,241884,20,272,423184,3394712,6
1,6,345612,36,126,992478,1836990,15
2,19,263245,66,836,1349237,6027569,12
3,29,287148,67,889,1543293,2335785,9
3,35,521430,23,1166,1582478,7884216,1
2,13,151157,32,279,761033,2618115,13
2,20,257810,70,670,939550,8409330,10
2,8,259584,28,260,699876,3789104,14
1,2,68810,6,72,337604,1094476,7
3,30,496840,100,160,1662210,4868880,13
2,13,208754,6,643,480909,521495,15
2,10,250845,10,240,406960,3723370,9
2,11,193776,22,88,966273,2159586,11
3,36,370524,48,60,1071300,3468768,1
2,18,395901,9,855,1320030,2133396,13
2,18,431172,54,702,1037025,1586124,8
3,25,583725,16,616,611658,1429466,8
1,2,103626,12,162,324500,1635386,8
1,2,69780,20,36,259544,1167046,15
2,12,171570,36,594,651006,2386512,5
2,17,275383,68,399,1543141,648516,15
1,2,75444,12,88,246434,1479806,11
2,10,102000,40,450,843345,3184165,1
3,38,803598,76,1114,1795943,11984516,13
3,35,302225,58,700,1854346,3246658,7
2,17,202495,17,586,844696,1404166,1
2,16,387520,56,184,1178248,3381072,8
3,40,715293,40,1266,1233400,868493,14
1,5,237530,30,500,844725,1823520,13
1,1,61338,2,99,138251,459411,6
3,32,524362,21,864,681248,5818197,4
3,32,724405,85,74,1515360,4064565,1
3,39,419302,91,598,1745900,3982251,6
3,26,258882,8,858,1010793,2672540,9
3,26,641706,60,312,1310720,8212810,6
3,33,376838,44,605,1421321,9600767,6
1,4,114884,24,364,333472,1463164,11
3,28,462429,56,149,677432,4161369,11
2,20,425990,20,920,960670,4919400,15
2,20,704140,70,680,919720,7600060,15
3,26,591768,52,130,1444872,2869212,3
3,37,296974,24,530,856081,2843869,2
2,7,163191,24,189,564424,1174477,11
2,22,451550,33,440,2125728,10140922,2
3,27,403101,72,702,476352,3726234,6
2,16,354792,8,776,457848,4239360,2
2,20,538490,50,70,1691770,9720780,6
2,15,268920,15,457,441075,4016437,10
2,19,420232,19,608,558742,1496905,3
2,8,122180,8,172,428144,3010184,8
2,23,831289,69,609,1345097,3025362,12
3,32,372640,42,1013,1965162,3566464,9
2,17,406844,34,8,1510781,6405132,6
2,20,590710,80,250,1676640,1853200,9
2,17,277780,8,212,948957,7523690,11
3,33,585706,66,165,756965,8748201,11
1,6,347346,12,318,1175304,3025998,15
2,14,467719,63,133,649292,4702950,10
1,5,369115,10,485,474965,4384515,2
2,14,308875,7,287,1027754,5719483,1
1,2,125152,12,42,354216,638278,7
1,1,47767,5,48,99585,895804,15
2,20,393390,20,480,911000,8767740,10
3,39,568113,104,260,1081197,3310515,1
2,19,445265,95,57,973503,6138472,13
1,1,37407,7,85,56548,928518,10
2,9,204444,13,342,767479,548491,9
3,27,505395,63,153,1319157,5251842,3
2,19,651244,38,684,1240139,3162702,14
3,30,676660,80,660,790420,2800740,9
2,15,178545,22,150,1277587,2013472,7
3,30,478030,30,490,1088640,6738000,14
3,39,601211,52,767,1704937,6211829,10
2,24,268344,84,420,1099260,10297800,4
3,29,448543,77,966,1058587,8115814,3
2,19,697575,57,674,713488,1019388,12
2,8,106820,20,348,467292,2370464,13
2,21,736123,52,1008,712603,8863470,14
1,2,96446,16,72,251892,889024,5
2,12,264102,54,132,375492,2525850,14
1,5,165385,10,200,288740,586500,8
3,40,438573,133,1333,2103253,11856920,10
3,40,301373,133,573,2181386,1099093,9
2,12,243096,18,576,582030,4593960,14
2,8,213780,20,124,641684,1243608,10
2,14,172326,14,665,778463,3420046,13
2,11,147895,11,203,1033659,4983203,8
1,1,64941,5,75,102342,771272,11
3,40,469440,133,1000,1568080,3236773,4
3,28,611174,56,102,1665682,7724425,8
2,16,511064,56,672,1485008,3598216,5
3,39,623207,117,1235,1744184,10613785,2
3,35,689838,23,1108,2112541,5781148,12
3,35,240916,11,595,1842435,2448495,13
3,29,423748,38,473,962046,8076316,1
3,37,669231,86,209,1541703,9760242,5
2,15,277477,67,622,913920,6858360,14
3,34,822958,45,170,2105892,10141463,9
2,9,133389,22,423,436351,640899,8
2,23,729606,11,333,2269766,6514669,6
2,15,324570,67,360,944475,6493117,7
3,29,469635,48,435,817307,3164663,13
2,7,172326,35,24,391608,1328358,11
3,29,627482,19,464,1037069,1243974,3
3,29,606303,19,628,719828,9108049,12
3,25,382591,75,583,520975,7822900,14
3,25,305958,41,816,1157050,4873375,7
3,34,603511,56,544,590319,7662704,9
3,32,400106,96,469,1841418,1226453,5
2,11,367906,27,258,782738,2428717,13
1,3,97398,12,285,410877,1859442,9
3,34,394116,45,759,790375,6297151,9
2,13,305045,26,357,990203,1868347,14
1,6,445176,30,6,941610,723738,15
2,23,542374,23,448,1461397,1295463,2
2,23,345897,23,552,1083392,7435405,15
3,34,416919,68,79,1511424,5018966,3
3,37,725101,86,123,1485291,11948508,14
3,29,263861,48,464,1179555,2705535,1
2,19,366168,76,826,1479501,7368124,4
1,3,83178,15,87,374487,1148649,13
3,30,537880,10,40,1217540,3736120,15
1,4,161004,20,232,761752,3860292,3
2,7,176816,24,59,431070,2203292,8
2,18,328986,36,207,742473,8174376,12
1,4,171732,24,268,511460,1150028,12
2,23,479630,115,184,1341843,9247058,8
2,21,590572,42,462,962661,7091574,9
2,14,520730,42,420,871689,5865902,15
3,34,462490,56,204,1992445,3308664,2
3,38,819951,50,1102,1553908,12617773,6
3,25,254941,58,633,1208266,6735833,10
2,15,464535,45,645,1060477,2893537,12
2,9,290196,22,193,446841,2428803,2
2,15,517432,15,607,875782,1620270,8
2,8,268948,8,224,327680,2004724,7
3,29,560763,19,821,1143073,1208275,7
1,5,275750,30,405,270465,4458680,5
3,25,450758,83,108,1328333,5567258,7
3,25,380725,75,233,476041,939258,12
2,15,156352,30,577,976192,5356305,2
3,39,831818,78,468,1468129,5173727,12
2,20,521080,50,130,1172140,5585610,7
1,4,184432,40,4,717316,3502800,8
2,14,239232,21,35,977592,3568964,13
2,21,637077,42,420,623826,1364202,3
3,36,493128,84,1116,1755876,10609836,6
2,13,240766,45,455,348491,3584132,6
2,22,338173,66,242,1134364,10414525,10
1,4,274084,32,68,395620,219352,9
2,23,650900,115,667,1371375,600668,11
1,1,24538,6,73,155435,826274,7
3,37,332938,123,518,1838838,7673072,15
2,22,670747,77,187,1015509,7098729,7
2,7,107961,35,143,494522,1518601,11
3,27,642735,63,72,1571940,7051572,13
2,24,615072,60,480,2008788,11757540,11
3,33,385979,44,330,1932029,7660884,11
2,8,200712,12,376,549372,1284744,12
2,11,185735,33,528,1083945,2679952,11
2,11,158724,11,401,872146,3683009,13
1,2,104432,12,130,205764,1485652,14
2,19,557127,19,940,1776804,5407656,12
2,15,557160,67,742,383932,2261077,14
3,40,696880,13,906,1781920,9638480,9
2,18,606717,45,828,1692747,2700369,14
2,19,480529,85,180,1131583,3326330,10
2,17,330386,68,756,1628880,2011397,6
2,16,593968,24,688,517792,5271360,13
2,21,333690,31,115,762447,6052137,6
1,3,107748,27,141,578166,2334237,11
1,4,299884,24,272,535548,1805156,1
3,36,671196,72,900,1458420,4980492,9
3,38,666570,63,899,2231322,9931920,5
3,31,207224,41,826,1860537,9879596,9
3,30,577230,100,420,993450,2461780,14
1,3,130737,30,45,462846,2630352,3
2,14,491876,7,259,1285844,6580854,14
1,4,100380,16,76,499776,3282020,10
3,33,703989,99,528,1768800,5303617,14
2,8,242948,20,324,301836,957428,4
1,4,175080,36,260,211532,2115036,8
2,16,233488,72,40,978096,7327336,12
2,15,272460,22,277,410055,5269867,13
2,14,228732,21,245,495992,2022937,8
3,26,251498,78,225,1019000,835752,14
2,21,607551,52,84,1194889,6640662,8
2,22,579491,77,836,1583670,1641904,5
1,4,169732,20,156,744448,1572136,11
2,15,376987,30,150,637852,6778402,3
2,12,168402,24,150,994824,5677068,2
2,17,548828,59,544,892041,1698266,7
3,27,446715,63,585,1754253,3141576,14
2,10,333155,15,375,598200,4369445,6
3,28,560233,84,746,685925,1554074,13
2,20,525130,50,30,676570,2828630,5
2,7,157685,31,276,240114,3019709,15
2,10,204565,45,110,458160,2090735,6
2,12,341568,24,462,471048,682596,11
3,34,551457,68,1122,792041,2839283,7
3,34,378794,113,646,880305,6531978,5
1,4,180752,20,192,612848,1270508,4
2,20,532730,50,880,909460,8208320,15
2,15,304530,52,300,1434547,2462790,9
2,24,869460,108,252,1354068,10996752,1
2,14,264831,35,287,1010268,798210,4
3,26,377624,60,459,837555,5725130,6
1,6,223692,6,144,983196,5266968,4
2,18,266184,27,396,669618,5110749,4
2,18,376542,54,495,1565568,3922155,13
2,9,219807,27,405,269815,1691001,13
3,33,530695,11,517,799755,6448288,15
3,32,300298,10,469,1812437,5713568,5
3,30,540150,90,900,865300,9705000,9
2,10,251195,30,425,420035,4546815,4
2,13,446075,58,19,999927,1997716,12
1,5,253400,45,455,906730,531980,6
3,35,666773,70,828,1277873,3543936,8
1,1,57832,8,57,141597,589220,8
1,4,295324,12,336,342476,1624328,14
3,32,511765,42,714,1936682,9732704,8
3,35,457485,81,128,2300993,4947110,10
3,40,581053,80,1266,2169200,5247680,1
3,32,340650,42,480,1208298,3002229,14
3,28,233781,74,373,1452705,6836984,7
2,16,497336,64,448,1194184,6376104,9
2,18,576522,81,369,1237977,6107994,2
1,4,289208,28,92,377284,1536068,10
2,16,315560,8,800,710136,932088,4
2,22,797313,11,495,1569931,4185577,11
2,12,252108,24,594,413142,2833188,9
1,6,352950,12,342,706584,787998,7
2,24,596544,60,912,675600,4037928,13
2,19,272042,38,57,1480489,7130842,15
2,11,394856,27,352,431788,4844130,7
1,6,323436,6,366,787884,3138354,12
2,19,534612,9,427,1178123,8527504,6
2,21,474915,73,672,1272820,9366504,14
2,22,371173,22,649,945659,4210382,1
3,36,380928,48,468,900168,11587980,10
2,8,206708,8,308,287424,2996164,3
3,32,686229,10,512,564682,5810826,5
1,2,99288,16,72,198068,639526,4
1,4,243768,8,60,409900,2228940,11
3,35,532093,23,956,1699028,11116735,14
2,23,331016,23,1081,793316,7438499,7
1,1,61664,8,60,184129,791111,14
1,5,335995,5,245,676155,4243270,11
3,35,467670,105,758,1328226,3203655,9
3,35,825031,46,676,1462043,5555025,15
3,35,819513,58,81,1087030,7878348,11
1,4,131804,16,164,762204,1967480,12
2,9,304816,4,396,858951,3281188,11
2,10,105665,35,235,278065,723225,10
2,15,377430,52,577,694455,5577825,13
2,15,267675,22,735,1134240,2377185,15
3,28,543377,84,130,1675193,7587169,13
2,7,122034,17,241,270865,1659647,10
3,34,512493,45,691,994896,1883951,14
1,4,148780,12,396,326720,598604,3
2,14,432180,70,532,733915,4741324,2
2,7,229575,21,136,292320,2328889,6
3,38,376630,114,810,2447846,12414093,4
3,29,612480,48,96,1547237,4294716,7
2,15,164377,45,360,1317382,6010365,1
1,3,107766,6,204,453051,1132263,1
3,30,450100,100,420,1303130,5254860,4
2,8,214428,28,4,286808,403424,13
3,35,394800,105,58,1067313,1152841,8
3,40,701426,26,160,1376493,5561640,2
3,25,276991,66,408,521775,1931525,4
2,12,268368,48,150,861924,5297322,11
3,30,359500,30,610,1003160,5802590,3
2,24,646440,84,1068,1001196,4861140,14
2,9,263236,31,18,438336,264159,11
2,24,574740,108,1188,1892448,4779900,14
2,23,427547,57,632,2166335,9522471,15
3,28,299394,46,298,1430436,4198954,15
2,20,375300,90,940,832850,6127080,9
1,3,156867,18,99,389607,2944140,6
3,38,640528,12,190,1897188,11937814,2
3,36,363084,120,1140,619956,4120824,13
3,38,920955,50,101,818874,11487058,8
2,22,484946,33,649,1278816,6994185,8
2,12,209190,24,510,557280,5344578,3
3,29,311740,58,570,551599,8106089,11
3,29,206973,29,319,685047,8186893,14
3,38,762432,63,354,1900785,767270,8
1,3,151356,6,141,571110,1388283,7
2,14,236131,14,56,401282,6478871,5
2,10,139500,35,220,422480,4403770,12
3,29,277549,67,725,1870577,4698734,15
3,33,365684,55,110,2133692,1061038,12
2,23,856037,69,368,2244558,1171677,2
3,39,306033,91,1209,1099111,10268596,13
2,7,110414,10,161,665766,354938,11
2,11,129668,11,5,674509,2715185,14
3,38,438482,101,418,2323535,2758141,8
1,3,183333,3,210,426861,2433369,12
2,8,202644,12,384,286504,2736040,11
3,34,482006,79,362,1508126,6862752,5
2,7,195811,10,210,678468,2051808,7
2,8,83280,16,108,337956,311396,6
2,18,325728,90,756,1125027,5881896,5
3,27,243018,9,558,594468,882846,5
1,1,71498,9,50,57944,520553,11
3,29,522299,38,19,826045,507490,13
2,9,228123,4,162,655911,585873,13
1,1,21677,5,12,163401,422413,5
3,29,410533,77,222,502251,3076571,5
3,35,445561,35,431,1904070,3029005,4
2,11,237094,16,264,1013936,2987919,13
3,25,433775,83,600,1170883,4263258,11
2,22,281919,77,99,674630,3966160,4
2,11,406021,44,286,718129,1472130,7
2,22,597454,33,220,817058,4103231,15
2,21,292498,31,651,1619740,1844944,10
3,30,531420,10,740,895620,1376080,3
3,29,625607,29,232,1060520,3147766,2
2,7,239676,7,94,322070,1130514,9
2,17,465664,85,187,1344793,5745286,10
1,3,89820,30,39,448476,2553189,14
3,29,525799,87,357,1066939,2522255,13
2,7,129626,28,311,523316,685244,5
3,37,283050,74,629,711251,3903463,5
3,31,670230,72,609,788392,8743808,13
2,8,246424,36,132,688540,2133212,1
1,4,137568,16,344,362388,1926544,15
2,17,560405,76,34,757622,3217862,14
2,16,312272,16,520,1213936,7868088,11
2,21,646558,31,588,1012389,2540328,4
2,7,245315,31,31,434983,862470,5
1,1,21028,10,64,90642,714701,4
3,29,381504,48,715,1302109,3631099,8
2,16,172376,64,424,1440712,5487512,10
3,31,231311,62,950,1375676,3096300,5
2,7,169078,17,318,376988,739228,6
3,32,604074,106,245,2096533,2756565,7
3,36,530988,48,960,1375440,6964740,10
1,3,102951,21,219,378321,1489554,14
3,25,470816,58,175,458183,1360433,14
3,34,389232,113,668,1975252,2397861,7
3,38,657235,38,139,1877098,12053612,9
1,6,293784,54,54,681078,954420,9
3,28,475309,84,270,870072,2595665,12
2,13,292363,45,513,339475,3517982,11
3,38,433225,101,316,1669479,836722,5
3,35,630350,35,408,885290,4203430,4
3,31,263737,72,981,1500617,8543352,9
3,26,528398,17,216,735826,603850,12
1,5,182370,5,345,832245,925650,10
3,38,692372,50,962,2185038,2784298,1
3,30,303820,20,420,1193730,6072880,14
3,34,458025,113,45,1338727,9131674,1
2,13,334132,32,221,899093,4163542,5
2,11,145810,22,49,459316,2352867,7
3,30,503880,40,530,1097680,4013190,10
3,28,317996,46,74,1427598,6076056,8
3,27,510552,36,45,1357956,1410876,14
2,16,260640,8,304,1037960,7799056,15
2,22,481294,55,748,780692,3267924,6
3,39,577850,78,611,779532,1917656,1
3,26,247442,26,632,1707628,8586560,12
3,31,584660,10,981,1087500,5866584,7
2,15,213825,67,142,857310,1078575,14
3,37,670020,98,1011,691826,1098098,8
3,34,796359,113,340,1525274,2111309,10
3,34,704695,11,521,1489653,2570241,7
2,18,331623,36,792,1237248,8692137,6
2,18,193509,36,828,680445,8353539,12
3,34,429295,90,22,2143620,3421057,6
3,31,251317,51,475,1738604,746221,6
1,2,115166,6,190,271520,325208,6
3,26,257616,78,138,683479,1672814,1
3,25,527850,41,158,1239966,2918191,15
2,14,411964,63,252,561701,1718241,15
3,28,413681,18,709,1568280,1963836,11
3,40,749160,106,693,2283480,11178680,12
3,37,559070,61,752,700743,2231618,13
1,3,132369,6,72,597597,2111262,11
2,13,203671,45,520,432919,5269972,11
3,29,266529,87,377,992302,5603892,13
2,13,262073,45,494,900438,4119420,8
2,8,267336,4,192,423212,2470456,8
3,34,783734,68,804,1043913,6444122,4
3,28,654490,37,886,1029765,1480929,3
2,19,237595,57,826,1264355,4895160,15
3,29,629967,87,792,790975,4106999,10
2,7,239925,21,80,553220,1377470,10
3,38,272016,50,164,1756132,7507292,5
3,30,332810,80,140,1265650,6738980,3
2,20,488390,80,890,1208220,4277050,3
2,17,170909,42,561,981648,1396601,13
2,13,263354,13,247,569211,2153489,6
1,6,358620,24,474,493914,2011524,1
3,29,275509,96,444,1586706,9550705,1
2,11,125614,33,539,1045770,478978,3
2,11,334988,44,511,364001,666512,11
2,14,213717,7,581,1205547,1407882,14
3,34,685825,45,782,1906969,3252644,13
2,9,125163,13,396,589855,1928763,13
2,19,505504,66,285,1750907,9199429,15
2,21,346542,63,714,1227093,1327273,2
3,35,842041,105,23,1830616,1141198,2
2,17,375912,76,357,454546,1394663,7
2,15,325185,45,532,1216665,6660720,13
3,27,269199,45,279,1631232,2686716,8
3,29,540163,96,522,652065,5095474,13
2,11,364105,11,352,992420,1829470,14
2,20,445290,40,840,1698840,3041230,11
1,2,42730,16,180,313956,758820,7
3,27,244647,9,477,1694403,3996711,1
2,22,384637,99,660,2060410,4759920,6
2,8,128824,20,112,370700,1760088,5
3,32,320309,32,586,1975957,7004362,8
2,23,487324,34,552,1454290,10683994,15
1,5,260690,50,95,508115,3656215,1
3,40,361706,120,1293,804866,10353546,2
2,23,560337,92,425,1035103,729433,6
3,36,422208,36,732,1882260,4209468,8
1,1,49878,5,4,169980,60154,5
2,8,113576,8,228,751260,305980,4
2,22,420156,33,275,1613821,562683,9
3,36,734748,96,972,977676,3779520,14
3,34,809528,113,906,636457,10964864,1
2,7,262356,21,140,385245,2534227,7
2,10,230540,25,340,422000,1840850,7
1,1,38193,7,43,51036,554361,1
3,27,270162,63,432,823104,542529,5
3,38,378518,76,760,1339044,5090695,14
2,24,253932,84,288,2318376,6906456,7
3,31,618460,20,702,1641253,7991066,5
3,32,789632,96,288,1040426,8767818,2
2,24,572088,12,312,1627968,5184660,8
3,39,547352,26,1170,707538,11054836,10
2,21,633969,42,388,653530,9427719,4
2,16,188696,64,760,1143776,2989144,15
1,6,197442,60,432,491574,1060464,9
2,8,213628,20,348,504248,3154036,12
1,4,292768,20,100,594608,2997400,4
1,6,312498,24,342,521208,989166,3
2,18,521136,72,765,889263,4877946,14
1,3,171477,21,240,187974,1261146,10
3,26,578647,34,537,685429,4268836,8
3,34,416568,102,192,1814092,10877098,14
3,30,505250,40,310,607070,7727870,4
3,38,866020,63,76,2054482,2051797,4
1,6,363738,48,120,1111776,4156140,10
2,17,234328,8,229,1234208,5549242,10
3,37,806316,123,135,989676,6544399,10
3,39,469716,130,910,862251,12122136,6
3,35,522456,23,443,1714825,11001760,6
2,15,359497,15,435,1279147,565470,7
1,5,222175,35,200,487300,1090485,2
3,35,524393,81,35,760468,8829800,8
3,38,743343,76,988,1090802,5759444,9
2,10,131505,25,120,434255,1899880,4
1,5,170380,35,165,975025,776445,12
2,12,277242,54,156,578130,2383710,3
3,30,366540,10,280,1774990,3466660,12
3,36,872964,36,108,2295960,4840140,15
1,2,69312,10,6,243766,1644670,7
2,15,242602,30,120,549825,7085730,4
3,32,249034,42,373,571029,2811456,9
2,18,543537,72,81,1700478,8903646,2
2,8,190464,4,20,303772,2793340,3
3,27,187614,27,576,1675737,1927179,8
3,30,530220,90,530,1264670,3748230,13
3,25,172791,75,700,1107775,771366,12
1,2,131036,8,172,290912,1233818,1
1,4,234860,12,356,416408,3258132,14
3,27,397611,36,360,703584,2102499,7
2,12,384372,54,312,901002,2422320,10
3,30,320720,10,520,618710,5819360,3
1,3,185703,6,186,201861,2227740,5
1,3,79725,30,255,337857,691923,13
2,15,494145,30,90,1230292,3996735,10
2,12,268086,24,66,564900,3246660,1
3,37,619293,123,333,715974,10952555,12
3,39,355329,130,910,778843,7411768,2
2,21,679276,42,756,1813413,3085047,9
2,15,409050,52,532,1028745,5732445,14
1,3,90849,15,78,408714,694632,10
3,25,476458,8,608,1098458,1563800,15
2,9,167931,45,405,314892,783963,1
1,1,59537,10,62,89624,248004,8
3,31,210934,20,279,1814740,5660031,1
1,6,443076,60,300,396678,1763124,3
3,37,378917,74,185,989219,2410611,8
3,34,343354,34,294,1032976,10067944,4
2,22,715462,55,132,1289772,4911401,9
2,7,240978,28,35,284567,249791,13
2,18,210555,9,756,1631844,3025287,8
2,22,560318,110,528,1415799,8559276,6
3,37,589878,111,148,1937381,4039808,15
3,35,840385,105,735,2022883,10680460,7
2,19,299839,19,408,791084,540379,4
2,18,636318,81,819,962703,6983451,10
2,7,89162,35,154,210784,2618448,14
3,31,242296,10,413,1783946,1474856,2
2,12,275376,12,378,1149498,5239878,4
3,35,632321,11,116,923241,9693436,13
2,24,614640,84,192,1534596,7540116,7
2,9,214587,31,9,548631,2547985,12
3,27,649224,54,693,948186,8278686,4
2,14,493787,63,112,1251026,4625600,3
2,10,320665,25,205,625665,1700910,5
1,5,250325,40,425,948605,2968220,3
3,29,423361,38,38,1263742,2890807,14
3,37,883967,12,1134,2022259,3822161,8
1,4,290204,8,80,660412,1984488,9
2,24,568488,72,780,1627092,7795092,11
3,36,625020,36,204,2275848,7401408,12
1,4,224232,36,148,224624,3122696,4
3,27,228429,36,765,1586403,2108124,3
2,11,139716,55,121,361273,670604,11
2,13,401115,32,78,1185210,977795,9
2,18,593199,81,522,845451,1049310,2
3,31,374232,31,134,1413155,1572495,14
2,17,607835,76,161,868776,4946320,13
1,5,261650,10,230,949415,1406530,2
2,11,278965,16,330,695480,4747974,5
3,34,315304,45,680,2230615,3895822,12
1,6,422358,6,474,1165068,2588388,6
1,6,422442,42,438,647982,753768,8
3,25,558175,66,325,1373175,7146625,11
3,25,193033,16,575,978133,5096758,6
3,25,445908,25,266,851341,3116333,7
3,33,726220,44,132,809259,9710305,5
2,16,573248,72,728,560568,1493192,8
3,28,321822,37,65,839850,7243609,9
3,38,818760,76,886,2221353,1698726,13
3,31,739856,10,609,1144468,6115359,11
